VR9 Gotlands läns valkrets;Moderaterna;4344;4847;5908;6880;6437;4880;6105;6646;6572;4808;7715;9731;8450
VR9 Gotlands läns valkrets;Centerpartiet;13528;13463;11445;10343;9204;9079;7532;6639;5119;5367;6883;5657;5317
VR9 Gotlands läns valkrets;Folkpartiet;2506;2999;3177;1903;3928;2871;2421;1671;1168;2701;1554;1785;1494
VR9 Gotlands läns valkrets;Kristdemokraterna;332;230;235;381;0;555;1830;937;2973;2242;1374;1128;1095
VR9 Gotlands läns valkrets;Miljöpartiet;0;0;0;852;938;2485;1556;2486;1956;1898;2237;3259;2859
VR9 Gotlands läns valkrets;Socialdemokraterna;12722;13594;14175;15852;15791;14926;13208;16089;11885;14024;12464;12855;12774
VR9 Gotlands läns valkrets;Vänsterpartiet;615;931;1535;1400;1402;1508;1374;1926;3692;2911;2145;2342;2308
VR9 Gotlands läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;122;209;566;1225;3259
VR9 Gotlands läns valkrets;övriga partier;139;41;110;35;66;58;2432;615;714;176;812;658;2099
VR9 Gotlands läns valkrets;ogiltiga valsedlar;96;262;317;406;442;492;789;682;916;742;1030;617;520
VR9 Gotlands läns valkrets;ej röstande;3708;3712;4109;3951;4774;6094;6132;6104;8883;9286;8425;6980;6291
VR10 Blekinge läns valkrets;Moderaterna;11784;13024;17134;19457;18067;13573;17986;18573;18040;12467;21109;27387;19824
VR10 Blekinge läns valkrets;Centerpartiet;22515;22674;16967;16134;12791;11120;8975;7629;4923;5777;6855;5771;5792
VR10 Blekinge läns valkrets;Folkpartiet;9264;10852;11638;5802;12778;9466;7403;5178;3401;10470;6105;5431;3984
VR10 Blekinge läns valkrets;Kristdemokraterna;1744;1545;1448;1961;0;2746;6170;3285;10330;8319;4964;3973;3483
VR10 Blekinge läns valkrets;Miljöpartiet;0;0;0;1194;1365;5235;2808;4430;3672;3631;3505;5289;4969
VR10 Blekinge läns valkrets;Socialdemokraterna;48778;51122;51443;54462;53026;51412;45679;53000;39762;43178;40532;36520;37981
VR10 Blekinge läns valkrets;Vänsterpartiet;4082;3435;4023;4151;4550;4713;4114;6505;12282;7827;5193;5075;4746
VR10 Blekinge läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;293;2634;5945;9830;18960
VR10 Blekinge läns valkrets;övriga partier;258;596;384;101;174;159;6073;1635;1053;255;1573;886;2486
VR10 Blekinge läns valkrets;ogiltiga valsedlar;103;309;472;813;827;1148;1691;1632;2419;1608;1953;1342;995
VR10 Blekinge läns valkrets;ej röstande;9936;9065;9982;9673;11627;14858;14435;14440;20686;20611;19909;16775;15644
VR11 Malmö kommuns valkrets;Moderaterna;0;0;0;0;0;0;0;40454;38930;24235;44232;55160;41510
VR11 Malmö kommuns valkrets;Centerpartiet;0;0;0;0;0;0;0;2933;1498;1701;4475;4795;4850
VR11 Malmö kommuns valkrets;Folkpartiet;0;0;0;0;0;0;0;8350;4988;20322;13769;11768;10000
VR11 Malmö kommuns valkrets;Kristdemokraterna;0;0;0;0;0;0;0;3621;10752;7793;5373;5274;4620
VR11 Malmö kommuns valkrets;Miljöpartiet;0;0;0;0;0;0;0;5364;4989;6310;9425;14861;15367
VR11 Malmö kommuns valkrets;Socialdemokraterna;0;0;0;0;0;0;0;71442;58979;62338;54732;48450;52460
VR11 Malmö kommuns valkrets;Vänsterpartiet;0;0;0;0;0;0;0;6513;12071;11172;8468;10118;13598
VR11 Malmö kommuns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;1209;5538;7708;13256;24171
VR11 Malmö kommuns valkrets;övriga partier;0;0;0;0;0;0;0;7832;7219;7725;7120;5426;12527
VR11 Malmö kommuns valkrets;ogiltiga valsedlar;0;0;0;0;0;0;0;2973;3150;2250;2389;1559;1604
VR11 Malmö kommuns valkrets;ej röstande;0;0;0;0;0;0;0;27494;42251;46955;45617;43659;45944
VR12 Skåne läns västra valkrets;Moderaterna;0;0;0;0;0;0;0;43002;39903;26420;46393;58628;44558
VR12 Skåne läns västra valkrets;Centerpartiet;0;0;0;0;0;0;0;10887;6227;6908;9184;8164;8380
VR12 Skåne läns västra valkrets;Folkpartiet;0;0;0;0;0;0;0;8904;6210;20551;13757;13967;9470
VR12 Skåne läns västra valkrets;Kristdemokraterna;0;0;0;0;0;0;0;4541;14963;12154;7869;6989;5860
VR12 Skåne läns västra valkrets;Miljöpartiet;0;0;0;0;0;0;0;6365;4913;5015;5961;9869;11032
VR12 Skåne läns västra valkrets;Socialdemokraterna;0;0;0;0;0;0;0;75002;55545;60464;56580;49900;55185
VR12 Skåne läns västra valkrets;Vänsterpartiet;0;0;0;0;0;0;0;5672;12347;8295;5409;5847;6962
VR12 Skåne läns västra valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;1427;6711;11549;17448;35180
VR12 Skåne läns västra valkrets;övriga partier;0;0;0;0;0;0;0;6042;7751;3931;5229;2623;5382
VR12 Skåne läns västra valkrets;ogiltiga valsedlar;0;0;0;0;0;0;0;2251;3492;2695;2719;2011;1919
VR12 Skåne läns västra valkrets;ej röstande;0;0;0;0;0;0;0;27006;40045;44939;41029;38134;36326
VR12G Fyrstadskretsen;Moderaterna;57611;66625;84573;93930;86749;73842;89308;0;0;0;0;0;0
VR12G Fyrstadskretsen;Centerpartiet;62040;49529;27240;24863;15174;13826;9845;0;0;0;0;0;0
VR12G Fyrstadskretsen;Folkpartiet;22853;36344;35965;18323;45312;34258;26512;0;0;0;0;0;0
VR12G Fyrstadskretsen;Kristdemokraterna;2117;1877;1492;2393;0;4208;15768;0;0;0;0;0;0
VR12G Fyrstadskretsen;Miljöpartiet;0;0;0;5449;5257;19362;10762;0;0;0;0;0;0
VR12G Fyrstadskretsen;Socialdemokraterna;144083;141723;137848;145847;136922;129795;109133;0;0;0;0;0;0
VR12G Fyrstadskretsen;Vänsterpartiet;11803;11736;14102;14601;13590;13936;10557;0;0;0;0;0;0
VR12G Fyrstadskretsen;Sverigedemokraterna;0;0;0;0;0;0;0;0;0;0;0;0;0
VR12G Fyrstadskretsen;övriga partier;1520;1193;3517;1205;2395;6448;24596;0;0;0;0;0;0
VR12G Fyrstadskretsen;ogiltiga valsedlar;1076;1543;2038;3162;3116;4415;5793;0;0;0;0;0;0
VR12G Fyrstadskretsen;ej röstande;29415;27300;31670;29764;35920;48990;49073;0;0;0;0;0;0
VR13 Skåne läns södra valkrets;Moderaterna;0;0;0;0;0;0;0;59779;59613;39652;69959;87893;67671
VR13 Skåne läns södra valkrets;Centerpartiet;0;0;0;0;0;0;0;11975;7634;8270;12751;12717;12795
VR13 Skåne läns södra valkrets;Folkpartiet;0;0;0;0;0;0;0;15480;10563;31270;19422;19622;16819
VR13 Skåne läns södra valkrets;Kristdemokraterna;0;0;0;0;0;0;0;5352;18075;13234;10125;9916;8379
VR13 Skåne läns södra valkrets;Miljöpartiet;0;0;0;0;0;0;0;8718;7412;8078;10081;16176;17391
VR13 Skåne läns södra valkrets;Socialdemokraterna;0;0;0;0;0;0;0;85415;68375;75459;63975;50557;59020
VR13 Skåne läns södra valkrets;Vänsterpartiet;0;0;0;0;0;0;0;6801;13494;10876;7297;7597;8578
VR13 Skåne läns södra valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;1118;7268;11272;19923;39734
VR13 Skåne läns södra valkrets;övriga partier;0;0;0;0;0;0;0;7289;6438;4121;6452;4125;9458
VR13 Skåne läns södra valkrets;ogiltiga valsedlar;0;0;0;0;0;0;0;3771;4613;3040;3424;2550;2243
VR13 Skåne läns södra valkrets;ej röstande;0;0;0;0;0;0;0;24862;38913;42525;39233;36486;33427
VR13G Malmöhus läns valkrets;Moderaterna;24409;32832;47270;56227;53804;47193;56044;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;Centerpartiet;52379;50048;36471;33641;26454;23999;15904;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;Folkpartiet;12493;20108;21121;11385;26137;20010;14686;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;Kristdemokraterna;1442;1205;1017;1448;0;2832;11053;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;Miljöpartiet;0;0;0;2640;2694;9972;4828;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;Socialdemokraterna;74059;77771;78796;84865;82966;82477;70790;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;Vänsterpartiet;2302;2664;3281;3453;3290;4255;3512;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;Sverigedemokraterna;0;0;0;0;0;0;0;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;övriga partier;340;131;831;336;430;1808;23175;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;ogiltiga valsedlar;457;572;909;1670;1730;2667;3390;0;0;0;0;0;0
VR13G Malmöhus läns valkrets;ej röstande;13146;12632;15472;15100;19508;27314;27641;0;0;0;0;0;0
VR14 Skåne läns norra och östra valkrets;Moderaterna;25161;30818;43462;49796;45791;38130;44869;46581;43078;29907;48946;60930;43518
VR14 Skåne läns norra och östra valkrets;Centerpartiet;55526;55041;40065;36730;30246;26112;18881;18028;10988;11960;14836;12871;11815
VR14 Skåne läns norra och östra valkrets;Folkpartiet;14405;19184;20149;11686;25135;19003;13010;9632;6738;19776;12673;12677;8887
VR14 Skåne läns norra och östra valkrets;Kristdemokraterna;2922;2526;2380;3047;0;4599;13613;7580;22651;18664;11993;9420;8131
VR14 Skåne läns norra och östra valkrets;Miljöpartiet;0;0;0;2752;2289;9259;4570;7622;6298;5978;6051;10195;10809
VR14 Skåne läns norra och östra valkrets;Socialdemokraterna;70631;71596;72836;78781;78251;76572;64166;83839;60415;66488;62794;54529;58940
VR14 Skåne läns norra och östra valkrets;Vänsterpartiet;3678;3294;4055;4342;4490;4934;4083;6474;15358;9498;6116;6113;6083
