region;parti mm;1973;2014
0380 Uppsala;ej röstande;9423;18509
0381 Enköping;Moderaterna;2371;7068
0381 Enköping;Centerpartiet;6447;2380
0381 Enköping;Folkpartiet;1351;1329
0381 Enköping;Kristdemokraterna;282;1071
0381 Enköping;Miljöpartiet;0;1462
0381 Enköping;Socialdemokraterna;8139;8067
0381 Enköping;Vänsterpartiet;569;985
0381 Enköping;Sverigedemokraterna;0;3607
0381 Enköping;övriga partier;26;729
0381 Enköping;ogiltiga valsedlar;28;319
0381 Enköping;ej röstande;2249;4399
0382 Östhammar;Moderaterna;1057;3017
0382 Östhammar;Centerpartiet;3697;1285
0382 Östhammar;Folkpartiet;634;601
0382 Östhammar;Kristdemokraterna;233;458
0382 Östhammar;Miljöpartiet;0;527
0382 Östhammar;Socialdemokraterna;5282;5478
0382 Östhammar;Vänsterpartiet;474;611
0382 Östhammar;Sverigedemokraterna;0;1894
0382 Östhammar;övriga partier;27;472
0382 Östhammar;ogiltiga valsedlar;14;182
0382 Östhammar;ej röstande;1281;2528
0428 Vingåker;Moderaterna;491;977
0428 Vingåker;Centerpartiet;1651;379
0428 Vingåker;Folkpartiet;676;154
0428 Vingåker;Kristdemokraterna;192;209
0428 Vingåker;Miljöpartiet;0;272
0428 Vingåker;Socialdemokraterna;2936;2300
0428 Vingåker;Vänsterpartiet;192;238
0428 Vingåker;Sverigedemokraterna;0;1209
0428 Vingåker;övriga partier;4;157
0428 Vingåker;ogiltiga valsedlar;6;59
0428 Vingåker;ej röstande;494;781
0461 Gnesta;Moderaterna;0;1610
0461 Gnesta;Centerpartiet;0;599
0461 Gnesta;Folkpartiet;0;226
0461 Gnesta;Kristdemokraterna;0;201
0461 Gnesta;Miljöpartiet;0;529
0461 Gnesta;Socialdemokraterna;0;2081
0461 Gnesta;Vänsterpartiet;0;404
0461 Gnesta;Sverigedemokraterna;0;911
0461 Gnesta;övriga partier;0;319
0461 Gnesta;ogiltiga valsedlar;0;75
0461 Gnesta;ej röstande;0;1023
0480 Nyköping;Moderaterna;4804;8212
0480 Nyköping;Centerpartiet;10272;2139
0480 Nyköping;Folkpartiet;2546;1606
0480 Nyköping;Kristdemokraterna;787;1554
0480 Nyköping;Miljöpartiet;0;2659
0480 Nyköping;Socialdemokraterna;19025;12139
0480 Nyköping;Vänsterpartiet;1238;1722
0480 Nyköping;Sverigedemokraterna;0;4477
0480 Nyköping;övriga partier;154;1176
0480 Nyköping;ogiltiga valsedlar;57;393
0480 Nyköping;ej röstande;3117;5186
0481 Oxelösund;Moderaterna;604;1301
0481 Oxelösund;Centerpartiet;1246;206
0481 Oxelösund;Folkpartiet;501;260
0481 Oxelösund;Kristdemokraterna;68;209
0481 Oxelösund;Miljöpartiet;0;398
0481 Oxelösund;Socialdemokraterna;4898;3348
0481 Oxelösund;Vänsterpartiet;582;604
0481 Oxelösund;Sverigedemokraterna;0;1066
0481 Oxelösund;övriga partier;46;205
0481 Oxelösund;ogiltiga valsedlar;9;94
0481 Oxelösund;ej röstande;671;1257
0482 Flen;Moderaterna;1218;1892
0482 Flen;Centerpartiet;3091;762
0482 Flen;Folkpartiet;921;347
0482 Flen;Kristdemokraterna;206;355
0482 Flen;Miljöpartiet;0;501
0482 Flen;Socialdemokraterna;5691;3671
0482 Flen;Vänsterpartiet;367;552
0482 Flen;Sverigedemokraterna;0;1802
0482 Flen;övriga partier;19;254
0482 Flen;ogiltiga valsedlar;16;99
